,School_Name,School_Level,Establishment_Date,Establishment_Type,Branch_Type,Address,city,gu,dong,Latitude,Longitude
1097,서울목원초등학교,초등학교,1995-06-05,공립,본교,서울특별시 양천구 목동 191-1,서울특별시,양천구,목동,37.54291947,126.8824459
1098,계성초등학교,초등학교,1882-09-08,사립,본교,서울특별시 서초구 반포동 6-1,서울특별시,서초구,반포동,37.5049159,126.9968257
1099,가재울중학교,중학교,2013-05-21,공립,본교,서울특별시 서대문구 북가좌동 472,서울특별시,서대문구,북가좌동,37.57517186,126.9099537
1100,주례중학교,중학교,1970-01-13,공립,본교,부산광역시 사상구 주례동 55-33,부산광역시,사상구,주례동,35.1484767,129.0141706
1101,대동고등학교,고등학교,1964-12-05,사립,본교,부산광역시 사하구 구평동 112-24,부산광역시,사하구,구평동,35.0873648,128.9842391
1102,서울서교초등학교,초등학교,1962-07-12,공립,본교,서울특별시 마포구 서교동 341,서울특별시,마포구,서교동,37.55488903,126.9243787
1103,서울경동초등학교,초등학교,1913-10-01,공립,본교,서울특별시 성동구 성수동1가 19-1,서울특별시,성동구,성수동1가,37.5438253,127.050074
1104,신도고등학교,고등학교,2011-03-01,공립,본교,서울특별시 은평구 진관동 242-38,서울특별시,은평구,진관동,37.62913251,126.9187486
1105,영훈고등학교,고등학교,1973-03-27,사립,본교,서울특별시 강북구 미아동 471-2,서울특별시,강북구,미아동,37.61468187,127.0280933
1106,서울북성초등학교,초등학교,1941-11-01,공립,본교,서울특별시 서대문구 북아현동 215,서울특별시,서대문구,북아현동,37.55963212,126.9518349
1107,동명여자중학교,중학교,1921-06-03,사립,본교,서울특별시 서대문구 천연동 31-1,서울특별시,서대문구,천연동,37.56861542,126.9622529
1108,용산중학교,중학교,1945-09-09,공립,본교,서울특별시 용산구 용산동2가 1-1623,서울특별시,용산구,용산동2가,37.54600281,126.9809763
1109,구룡중학교,중학교,1989-04-18,공립,본교,서울특별시 강남구 개포동 650,서울특별시,강남구,개포동,37.48615258,127.056121
1110,부산남중학교,중학교,1952-04-20,공립,본교,부산광역시 영도구 남항동2가 217-1,부산광역시,영도구,남항동2가,35.08830794,129.0399633
1111,목일중학교,중학교,1987-05-08,공립,본교,서울특별시 양천구 신정동 330-2,서울특별시,양천구,신정동,37.51354095,126.8740325
